Discord Name,Discord ID,Activity Month,Chat Count,Broadcast Count,Total Activity,Seen Ranks
GET CAMO,'225783803111538688,2026-03,104,8,112,Sapphire
GET CAMO,'225783803111538688,2026-04,49,6,55,Sapphire
Yes I Potted,'266916816998236161,2026-03,36,6,42,"Helper, Sapphire"
Ramranchman,'311047404512083969,2026-04,34,28,62,Sapphire
DontFreeIran,'325983213212401664,2026-02,11,35,46,Helper
DontFreeIran,'325983213212401664,2026-03,211,63,274,"Helper, Sapphire"
DontFreeIran,'325983213212401664,2026-04,0,5,5,None
jesusHmacy,'96871863094874112,2026-03,8,10,18,Sapphire
jesusHmacy,'96871863094874112,2026-04,4,6,10,Sapphire
OnTheRark,'989049675095101492,2025-07,1,2,3,Sapphire
OnTheRark,'989049675095101492,2025-08,0,3,3,None
OnTheRark,'989049675095101492,2025-09,3,15,18,Sapphire
OnTheRark,'989049675095101492,2025-10,8,18,26,Sapphire
OnTheRark,'989049675095101492,2025-11,30,45,75,Sapphire
OnTheRark,'989049675095101492,2025-12,12,15,27,Sapphire
OnTheRark,'989049675095101492,2026-01,29,143,172,"Ruby, Sapphire"
OnTheRark,'989049675095101492,2026-02,7,15,22,Ruby
OnTheRark,'989049675095101492,2026-03,11,7,18,"Helper, Ruby"
OnTheRark,'989049675095101492,2026-04,0,2,2,None
covid clap,1014818429372465163,2025-06,9,1,10,Diamond
covid clap,1014818429372465163,2025-07,38,44,82,Diamond
covid clap,1014818429372465163,2025-08,31,19,50,Diamond
covid clap,1014818429372465163,2025-09,0,1,1,None
covid clap,1014818429372465163,2025-10,41,12,53,Diamond
covid clap,1014818429372465163,2025-11,36,22,58,Diamond
covid clap,1014818429372465163,2025-12,17,14,31,Diamond
covid clap,1014818429372465163,2026-01,23,7,30,Diamond
covid clap,1014818429372465163,2026-02,2,14,16,Diamond
covid clap,1014818429372465163,2026-03,13,37,50,Diamond
covid clap,1014818429372465163,2026-04,5,4,9,Diamond
CraZyFelix,101517997029486592,2026-03,56,150,206,"Dragonstone, Guest"
CraZyFelix,101517997029486592,2026-04,2,16,18,Dragonstone
Grubzzz,1019252891590070355,2025-06,101,54,155,Emerald
Grubzzz,1019252891590070355,2025-07,143,109,252,Emerald
Grubzzz,1019252891590070355,2025-08,61,39,100,Emerald
Grubzzz,1019252891590070355,2025-09,24,26,50,Emerald
Grubzzz,1019252891590070355,2025-10,34,16,50,Emerald
Grubzzz,1019252891590070355,2025-11,23,18,41,Emerald
Grubzzz,1019252891590070355,2025-12,15,4,19,Emerald
Grubzzz,1019252891590070355,2026-01,37,20,57,Emerald
Grubzzz,1019252891590070355,2026-02,60,18,78,Emerald
Grubzzz,1019252891590070355,2026-03,157,71,228,Emerald
Grubzzz,1019252891590070355,2026-04,7,25,32,Emerald
Au Rooster,1023942033682997318,2025-06,33,2,35,Diamond
Au Rooster,1023942033682997318,2025-07,262,28,290,Diamond
Au Rooster,1023942033682997318,2025-08,22,3,25,Diamond
Au Rooster,1023942033682997318,2025-09,187,9,196,Diamond
Au Rooster,1023942033682997318,2025-10,17,0,17,Diamond
Au Rooster,1023942033682997318,2025-11,192,57,249,Diamond
Au Rooster,1023942033682997318,2025-12,100,8,108,Diamond
Au Rooster,1023942033682997318,2026-02,52,14,66,Diamond
Au Rooster,1023942033682997318,2026-03,84,8,92,Diamond
Au Rooster,1023942033682997318,2026-04,3,1,4,Diamond
DIXX SOFT | James Cawk,1025017314455846913,2025-11,8,1,9,Ruby
DIXX SOFT | James Cawk,1025017314455846913,2025-12,51,51,102,Ruby
DIXX SOFT | James Cawk,1025017314455846913,2026-01,5,1,6,Ruby
DIXX SOFT | James Cawk,1025017314455846913,2026-03,1,0,1,Ruby
Au Sleepy,1025140619259166740,2025-09,126,56,182,Sapphire
Au Sleepy,1025140619259166740,2025-10,24,4,28,Sapphire
Au Sleepy,1025140619259166740,2026-01,6,0,6,Sapphire
Au Sleepy,1025140619259166740,2026-03,100,37,137,Sapphire
Au Sleepy,1025140619259166740,2026-04,10,3,13,Sapphire
Shark Lures,1034476834039025685,2026-02,175,206,381,"Helper, Sapphire"
Shark Lures,1034476834039025685,2026-03,428,230,658,"Emerald, Helper, Sapphire"
Shark Lures,1034476834039025685,2026-04,57,42,99,Emerald
techno sucks,1046601465000640532,2025-06,14,24,38,Sapphire
techno sucks,1046601465000640532,2025-07,127,93,220,"Emerald, Sapphire"
techno sucks,1046601465000640532,2025-08,129,88,217,Emerald
techno sucks,1046601465000640532,2025-09,62,39,101,Emerald
techno sucks,1046601465000640532,2025-10,19,7,26,Emerald
techno sucks,1046601465000640532,2025-11,13,17,30,Ruby
techno sucks,1046601465000640532,2025-12,17,16,33,Ruby
techno sucks,1046601465000640532,2026-01,29,27,56,Ruby
techno sucks,1046601465000640532,2026-02,1,0,1,Ruby
Spriggs,1060877549531570186,2025-06,555,124,679,Diamond
Spriggs,1060877549531570186,2025-07,1303,145,1448,Diamond
Spriggs,1060877549531570186,2025-08,1760,178,1938,Diamond
Spriggs,1060877549531570186,2025-09,1021,176,1197,"Diamond, Racer"
Spriggs,1060877549531570186,2025-10,518,53,571,Diamond
Spriggs,1060877549531570186,2025-11,393,93,486,"Diamond, Dragonstone, Emerald, Racer"
Spriggs,1060877549531570186,2025-12,213,19,232,Dragonstone
Spriggs,1060877549531570186,2026-01,86,11,97,Dragonstone
Spriggs,1060877549531570186,2026-02,81,5,86,Dragonstone
Spriggs,1060877549531570186,2026-03,302,32,334,"Dragonstone, Proselyte"
Spriggs,1060877549531570186,2026-04,70,3,73,"Helper, Proselyte"
Mackrow,106258224298123264,2026-01,26,35,61,Sapphire
